MariaDB [jtyndale]> source queries.sql;
+-----------+----------------+---------------+--------------+
| member_ID | ISBN           | checkout_date | checkin_date |
+-----------+----------------+---------------+--------------+
|      1100 | 96-42103-10001 | 2016-4-27     | 2016-4-30    |
|      1100 | 96-42103-10003 | 2016-3-23     | 2016-3-24    |
|      1100 | 96-42103-10040 | 2016-5-16     | 2016-5-16    |
|      1100 | 96-42103-10081 | 2016-3-15     | 2016-3-17    |
|      1100 | 96-42103-10401 | 2016-5-14     | 2016-5-16    |
|      1100 | 96-42103-10604 | 2016-3-9      | 2016-3-10    |
|      1100 | 96-42103-10604 | 2016-4-13     | 2016-4-17    |
|      1100 | 96-42103-10709 | 2016-5-18     | 2016-5-21    |
|      1200 | 96-42103-10081 | 2016-4-10     | 2016-4-16    |
|      1200 | 96-42103-10093 | 2016-3-27     | 2016-3-29    |
|      1200 | 96-42103-10109 | 2016-4-15     | 2016-4-18    |
|      1300 | 96-42103-10001 | 2016-3-28     | 2016-4-4     |
|      1300 | 96-42103-10007 | 2016-5-11     | 2016-5-12    |
|      1300 | 96-42103-10008 | 2016-4-20     | 2016-4-26    |
|      1300 | 96-42103-10022 | 2016-3-9      | 2016-3-10    |
|      1300 | 96-42103-10206 | 2016-5-11     | 2016-5-14    |
|      1400 | 96-42103-10007 | 2016-5-6      | 2016-5-11    |
|      1400 | 96-42103-10008 | 2016-5-24     | 2016-5-29    |
|      1400 | 96-42103-10022 | 06/10/2016    |              |
|      1400 | 96-42103-10022 | 2016-3-4      | 2016-3-7     |
|      1400 | 96-42103-10033 | 2016-3-26     | 2016-3-29    |
|      1400 | 96-42103-10800 | 2016-3-4      | 2016-3-6     |
|      1400 | 96-42103-11003 | 2016-3-5      | 2016-3-10    |
|      1500 | 96-42103-10004 | 2016-5-14     | 2016-5-16    |
|      1500 | 96-42103-10800 | 2016-4-2      | 2016-4-5     |
|      1600 | 96-42103-10002 | 2016-5-4      | 2016-5-9     |
|      1600 | 96-42103-10011 | 2016-3-20     | 2016-3-20    |
|      1600 | 96-42103-10206 | 2016-5-21     | 2016-5-27    |
|      1600 | 96-42103-10300 | 2016-3-22     | 2016-3-24    |
|      1600 | 96-42103-10800 | 2016-5-10     | 2016-5-13    |
|      1700 | 96-42103-10004 | 2016-4-5      | 2016-4-11    |
|      1700 | 96-42103-10040 | 2016-5-18     | 2016-5-21    |
|      1700 | 96-42103-10081 | 2016-3-5      | 2016-3-8     |
|      1700 | 96-42103-10604 | 2016-4-17     | 2016-4-18    |
|      1700 | 96-42103-10800 | 2016-4-22     | 2016-4-28    |
|      1700 | 96-42103-11003 | 2016-4-17     | 2016-4-20    |
|      1800 | 96-42103-10011 | 2016-4-25     | 2016-4-26    |
|      1800 | 96-42103-10093 | 06/11/2016    |              |
|      1900 | 96-42103-10008 | 2016-5-1      | 2016-5-1     |
|      2000 | 96-42103-10005 | 2016-5-17     | 2016-5-21    |
|      2000 | 96-42103-10006 | 2016-5-8      | 2016-5-11    |
|      2000 | 96-42103-10093 | 2016-4-12     | 2016-4-12    |
|      2000 | 96-42103-10109 | 2016-5-9      | 2016-5-11    |
|      2001 | 96-42103-10040 | 2016-4-22     | 2016-4-25    |
|      2002 | 96-42103-10006 | 2016-4-27     | 2016-5-2     |
|      2002 | 96-42103-10008 | 2016-4-21     | 2016-4-25    |
|      2002 | 96-42103-10040 | 2016-5-22     | 2016-5-27    |
|      2002 | 96-42103-10081 | 2016-3-4      | 2016-3-6     |
|      2003 | 96-42103-10033 | 2016-3-14     | 2016-3-15    |
|      2003 | 96-42103-10040 | 2016-4-9      | 2016-4-14    |
|      2003 | 96-42103-10068 | 2016-4-12     | 2016-4-16    |
|      2004 | 96-42103-10007 | 2016-4-21     | 2016-4-23    |
|      2004 | 96-42103-10040 | 2016-4-27     | 2016-5-2     |
|      2004 | 96-42103-10800 | 2016-5-13     | 2016-5-17    |
|      2004 | 96-42103-10800 | 2016-5-24     | 2016-5-28    |
|      2004 | 96-42103-10907 | 2016-5-9      | 2016-5-10    |
|      2005 | 96-42103-10011 | 2016-4-20     | 2016-4-22    |
|      2006 | 96-42103-10800 | 2016-4-4      | 2016-4-4     |
|      2007 | 96-42103-10033 | 2016-3-19     | 2016-3-24    |
